企業ID,業界,上場種別,y,pred,oof_pred,区分
0,化学,PR,0,0,0.0343708850685645,TN
1,運輸・物流,PR,0,0,0.0037962148657424,TN
2,建設・工事,PR,0,0,0.2847929912863718,TN
3,機械,PR,0,0,0.0072520454426517,TN
4,医療・福祉,PR,0,0,0.0272209434685967,TN
5,食品,PR,0,0,0.0100207123704352,TN
6,製造,PR,0,0,0.0092174927430835,TN
7,化学,PR,1,1,0.6533362939262591,TP
8,機械,PR,1,1,0.7986734852997128,TP
9,医療・福祉,PR,0,0,0.1668941444081925,TN
10,機械,PR,0,0,0.0138886908871171,TN
11,自動車・乗り物,PR,0,0,0.0318003700671047,TN
12,機械関連サービス,PR,0,0,0.0143234657439599,TN
13,機械,PR,0,0,0.0253924317914469,TN
14,運輸・物流,PR,0,0,0.0019483273463972,TN
15,機械,PR,1,1,0.9941266299725444,TP
16,機械,PR,0,0,0.0647956423832059,TN
17,建設・工事,PR,0,0,0.0813451577882157,TN
18,医療・福祉,PR,1,1,0.9684464809691689,TP
19,外食,PR,0,0,0.0895353689135518,TN
20,医療・福祉,PR,0,0,0.0540665407042264,TN
21,小売,PR,0,0,0.0073696376650946,TN
22,エンタメ,PR,0,0,0.1238408862910265,TN
23,その他サービス,PR,1,1,0.5965491503631338,TP
24,機械,PR,1,1,0.922785858571044,TP
25,機械,PR,0,0,0.0589681507456456,TN
26,コンサルティング,PR,1,0,0.2677280682009491,FN
27,コンサルティング,PR,0,0,0.3300810875271608,TN
28,機械,PR,0,1,0.9111835261925616,FP
29,食品,PR,0,0,0.022293682825903,TN
30,建設・工事,PR,0,0,0.3142094031139516,TN
31,製造,PR,0,0,0.025981579037829,TN
32,小売,PR,0,0,0.1613543477052474,TN
33,建設・工事,PR,1,0,0.2803048036688924,FN
34,化学,PR,0,0,0.0039675964155086,TN
35,機械関連サービス,PR,0,0,0.0047100117223618,TN
36,生活用品,PR,0,0,0.041707775474105,TN
37,製造,PR,0,0,0.0060330952578563,TN
38,機械,PR,0,0,0.0116368804426262,TN
39,製造,PR,0,0,0.3094818246265343,TN
40,外食,PR,0,0,0.021497260832224,TN
41,食品,PR,0,0,0.0359836153962689,TN
42,製造,PR,0,0,0.0013028410891257,TN
43,製造,PR,0,0,0.0490944374132897,TN
44,化学,PR,0,0,0.0066525803809316,TN
45,エネルギー,PR,0,0,0.3224300754934104,TN
46,アパレル・美容,PR,1,1,0.4159586404404715,TP
47,電気製品,PR,1,1,0.9319570337118146,TP
48,機械,PR,1,1,0.9914287640969074,TP
49,機械,PR,0,0,0.0374022093110333,TN
50,製造,PR,0,0,0.0038548862329665,TN
51,機械,PR,1,1,0.932978315592819,TP
52,小売,PR,0,0,0.0029276113147294,TN
53,製造,PR,0,0,0.0287206514622491,TN
54,機械,PR,1,1,0.9675889809983088,TP
55,IT,PR,1,0,0.3509559743163401,FN
56,機械,PR,0,0,0.0105982337598047,TN
57,製造,PR,1,0,0.1390912187527925,FN
58,建設・工事,PR,0,0,0.0008605486092528,TN
59,建設・工事,PR,0,0,0.000820359630943,TN
60,IT,PR,1,0,0.076343916216559,FN
61,IT,PR,0,0,0.0579849139761473,TN
62,自動車・乗り物,PR,0,0,0.1988236020409426,TN
63,建設・工事,PR,0,0,0.000361097837042,TN
64,エネルギー,PR,0,1,0.4983304722791605,FP
65,建設・工事,PR,0,0,0.0020798474676629,TN
66,運輸・物流,PR,0,0,0.0014053863674708,TN
67,製造,PR,0,0,0.0088261327531968,TN
68,製造,PR,0,0,0.0183893964911044,TN
69,製造,PR,0,0,0.0053913723133399,TN
70,食品,PR,0,0,0.0056595150285227,TN
71,エネルギー,PR,0,0,0.0311350342631201,TN
72,機械,PR,1,1,0.9402109456876954,TP
73,アパレル・美容,PR,0,1,0.9136094490809178,FP
74,アパレル・美容,PR,0,0,0.0143872658650421,TN
75,製造,PR,0,0,0.0041568600309098,TN
76,自動車・乗り物,PR,1,1,0.4409216168010269,TP
77,機械,PR,0,1,0.4293896638465515,FP
78,医療・福祉,PR,0,0,0.3064591516244072,TN
79,金融,PR,0,0,0.0175052969836896,TN
80,医療・福祉,PR,1,1,0.6393068153398238,TP
81,機械,PR,0,0,0.0103863884641905,TN
82,小売,PR,1,0,0.0861770768767383,FN
83,機械,PR,0,0,0.0009492827129639,TN
84,コンサルティング,PR,0,0,0.3836862700853183,TN
85,機械,PR,0,0,0.0377165263263077,TN
86,医療・福祉,PR,0,0,0.0052784786022447,TN
87,不動産,PR,1,0,0.1237166014336837,FN
88,コンサルティング,PR,0,0,0.3614844666616563,TN
89,自動車・乗り物,PR,1,1,0.9757805479764632,TP
90,建設・工事,PR,0,0,0.0020134757658194,TN
91,機械,PR,1,1,0.9901795556385904,TP
92,機械,PR,0,0,0.1984042736601678,TN
93,IT,PR,1,1,0.590411617371162,TP
94,小売,PR,1,0,0.297767024470823,FN
95,医療・福祉,PR,0,0,0.1792269672156534,TN
96,電気製品,PR,0,0,0.0036996192439842,TN
97,機械,PR,0,0,0.040862173523787,TN
98,建設・工事,PR,0,1,0.5529522120671764,FP
99,化学,PR,1,1,0.9121633062025876,TP
100,自動車・乗り物,PR,0,0,0.0141832649075019,TN
101,機械,PR,0,1,0.8866411269145161,FP
102,エンタメ,PR,0,0,0.0436110980273287,TN
103,エネルギー,PR,0,0,0.0620256364350308,TN
104,外食,PR,0,0,0.0531354887910707,TN
105,建設・工事,PR,0,0,0.0114647296366114,TN
106,建設・工事,PR,0,0,0.0064225197844528,TN
107,建設・工事,PR,0,0,0.0045666526661451,TN
108,自動車・乗り物,PR,1,1,0.6926715529332774,TP
109,化学,PR,0,0,0.050764599490287,TN
110,機械,PR,1,1,0.773030569738088,TP
111,不動産,PR,0,0,0.0052678627642221,TN
112,自動車・乗り物,PR,0,0,0.0014950558544457,TN
113,IT,PR,1,1,0.9828425248152092,TP
114,IT,PR,1,1,0.8988572583646898,TP
115,食品,PR,0,0,0.0420766227876432,TN
116,生活用品,PR,1,1,0.8957743932546074,TP
117,機械,PR,0,0,0.1120351072939685,TN
118,機械,PR,1,0,0.3570980014059156,FN
119,機械,PR,1,1,0.4766840693105548,TP
120,機械,PR,1,1,0.7822139673925133,TP
121,化学,PR,0,0,0.1561074735408096,TN
122,IT,PR,1,1,0.4669493991002851,TP
123,IT,PR,0,0,0.1375579608008754,TN
124,金融,PR,0,0,0.0120417680471088,TN
