企業ID,業界,上場種別,y,pred,oof_pred,区分
0,化学,PR,0,0,0.0098168264964822,TN
1,運輸・物流,PR,0,0,0.0033920587304084,TN
2,建設・工事,PR,0,0,0.2485146822442744,TN
3,機械,PR,0,0,0.0058804093912707,TN
4,医療・福祉,PR,0,0,0.0444696861965421,TN
5,食品,PR,0,0,0.0024412971286692,TN
6,製造,PR,0,0,0.003610314547749,TN
7,化学,PR,1,1,0.7208662527296871,TP
8,機械,PR,1,1,0.7563788169978092,TP
9,医療・福祉,PR,0,0,0.2045055082037071,TN
10,機械,PR,0,0,0.0211599100120094,TN
11,自動車・乗り物,PR,0,0,0.0707592750889088,TN
12,機械関連サービス,PR,0,0,0.0072002587882337,TN
13,機械,PR,0,0,0.128702900847895,TN
14,運輸・物流,PR,0,0,0.0029664219152947,TN
15,機械,PR,1,1,0.997801528944754,TP
16,機械,PR,0,0,0.0773422385248282,TN
17,建設・工事,PR,0,0,0.3501204900744987,TN
18,医療・福祉,PR,1,1,0.9516196543380004,TP
19,外食,PR,0,0,0.0652191385820618,TN
20,医療・福祉,PR,0,0,0.0110254918298966,TN
21,小売,PR,0,0,0.0098337194980459,TN
22,エンタメ,PR,0,0,0.0979799313801558,TN
23,その他サービス,PR,1,1,0.6009325475250203,TP
24,機械,PR,1,1,0.966641016995623,TP
25,機械,PR,0,0,0.0161844706488736,TN
26,コンサルティング,PR,1,0,0.2154213306863681,FN
27,コンサルティング,PR,0,1,0.5403750763330111,FP
28,機械,PR,0,1,0.8891670941696337,FP
29,食品,PR,0,0,0.0230497480805495,TN
30,建設・工事,PR,0,0,0.0958598211547249,TN
31,製造,PR,0,0,0.008559643959127,TN
32,小売,PR,0,0,0.2777829299614909,TN
33,建設・工事,PR,1,0,0.3695008704486047,FN
34,化学,PR,0,0,0.0073767904090008,TN
35,機械関連サービス,PR,0,0,0.0138750476652236,TN
36,生活用品,PR,0,0,0.0247768672894487,TN
37,製造,PR,0,0,0.0020173259876644,TN
38,機械,PR,0,0,0.0080715119527648,TN
39,製造,PR,0,0,0.2375532306398673,TN
40,外食,PR,0,0,0.0159185462469878,TN
41,食品,PR,0,0,0.0501794627162948,TN
42,製造,PR,0,0,0.0015681107123319,TN
43,製造,PR,0,0,0.0246400480071281,TN
44,化学,PR,0,0,0.0039799964448328,TN
45,エネルギー,PR,0,0,0.2955518730202977,TN
46,アパレル・美容,PR,1,1,0.6390054780879467,TP
47,電気製品,PR,1,1,0.8221226555750866,TP
48,機械,PR,1,1,0.9960827462877366,TP
49,機械,PR,0,0,0.0355083438919603,TN
50,製造,PR,0,0,0.0013535633043361,TN
51,機械,PR,1,1,0.9458973456904792,TP
52,小売,PR,0,0,0.002431995860613,TN
53,製造,PR,0,0,0.0163405226044113,TN
54,機械,PR,1,1,0.9827696494722024,TP
55,IT,PR,1,0,0.2284094157286161,FN
56,機械,PR,0,0,0.0185908938536339,TN
57,製造,PR,1,0,0.3477729137735235,FN
58,建設・工事,PR,0,0,0.0012463921288853,TN
59,建設・工事,PR,0,0,0.0073529920524586,TN
60,IT,PR,1,0,0.2970068753190582,FN
61,IT,PR,0,0,0.0628652023368071,TN
62,自動車・乗り物,PR,0,0,0.4120902024594984,TN
63,建設・工事,PR,0,0,0.0060473674322517,TN
64,エネルギー,PR,0,1,0.5466300694713949,FP
65,建設・工事,PR,0,0,0.0016455837534864,TN
66,運輸・物流,PR,0,0,0.0020652852116969,TN
67,製造,PR,0,0,0.0071115326251566,TN
68,製造,PR,0,0,0.0411291766758334,TN
69,製造,PR,0,0,0.0075222325531213,TN
70,食品,PR,0,0,0.0065296225899809,TN
71,エネルギー,PR,0,0,0.0626116126918252,TN
72,機械,PR,1,1,0.9408139357481952,TP
73,アパレル・美容,PR,0,1,0.947822996629613,FP
74,アパレル・美容,PR,0,0,0.0063045722940941,TN
75,製造,PR,0,0,0.0032578393164728,TN
76,自動車・乗り物,PR,1,1,0.7672321762884494,TP
77,機械,PR,0,0,0.3120169394768932,TN
78,医療・福祉,PR,0,0,0.1657469880361679,TN
79,金融,PR,0,0,0.0707697344076487,TN
80,医療・福祉,PR,1,1,0.6087682378701794,TP
81,機械,PR,0,0,0.016730649858568,TN
82,小売,PR,1,0,0.1261767081677696,FN
83,機械,PR,0,0,0.0058331166312336,TN
84,コンサルティング,PR,0,1,0.5257989554420774,FP
85,機械,PR,0,0,0.028392648464101,TN
86,医療・福祉,PR,0,0,0.0030896403064675,TN
87,不動産,PR,1,0,0.0441281962795803,FN
88,コンサルティング,PR,0,0,0.2654902968018799,TN
89,自動車・乗り物,PR,1,1,0.9700804792393048,TP
90,建設・工事,PR,0,0,0.0017839487595548,TN
91,機械,PR,1,1,0.9926083682361828,TP
92,機械,PR,0,0,0.0409620222935047,TN
93,IT,PR,1,1,0.460612596851524,TP
94,小売,PR,1,0,0.1690828694034037,FN
95,医療・福祉,PR,0,0,0.0696599696847173,TN
96,電気製品,PR,0,0,0.0033269266756973,TN
97,機械,PR,0,0,0.0107305136849825,TN
98,建設・工事,PR,0,0,0.382731493690776,TN
99,化学,PR,1,1,0.9089388045655504,TP
100,自動車・乗り物,PR,0,0,0.0120536823526935,TN
101,機械,PR,0,1,0.9111629044394708,FP
102,エンタメ,PR,0,0,0.0599239054255772,TN
103,エネルギー,PR,0,0,0.0144235079133297,TN
104,外食,PR,0,0,0.0685859330840467,TN
105,建設・工事,PR,0,0,0.0180329742553365,TN
106,建設・工事,PR,0,0,0.0083110389706832,TN
107,建設・工事,PR,0,0,0.0106311912193368,TN
108,自動車・乗り物,PR,1,1,0.9200005086150572,TP
109,化学,PR,0,0,0.0241586120746767,TN
110,機械,PR,1,1,0.8890905457338235,TP
111,不動産,PR,0,0,0.0014016424612165,TN
112,自動車・乗り物,PR,0,0,0.0179026029669726,TN
113,IT,PR,1,1,0.9783167457368008,TP
114,IT,PR,1,1,0.8873237970829728,TP
115,食品,PR,0,0,0.017328322231312,TN
116,生活用品,PR,1,1,0.7991719557941547,TP
117,機械,PR,0,0,0.195889726880472,TN
118,機械,PR,1,0,0.2216193541005802,FN
119,機械,PR,1,1,0.6638901307284634,TP
120,機械,PR,1,1,0.7201016826913568,TP
121,化学,PR,0,0,0.0165503024728579,TN
122,IT,PR,1,1,0.6018530690282928,TP
123,IT,PR,0,0,0.1321843225223091,TN
124,金融,PR,0,0,0.0130793877884556,TN
125,医療・福祉,PR,1,0,0.1610633262556727,FN
126,商社,PR,1,1,0.7470930377768702,TP
127,化学,PR,0,0,0.0336405102798548,TN
128,機械,PR,0,1,0.906621029676138,FP
129,自動車・乗り物,PR,1,1,0.9203148690320048,TP
130,小売,PR,0,0,0.0056563979071678,TN
131,機械,PR,0,0,0.0531536320228643,TN
132,建設・工事,PR,0,0,0.0057405643542404,TN
133,機械,PR,1,1,0.6558217546746073,TP
134,機械,PR,0,1,0.5249342117152197,FP
135,商社,PR,1,1,0.9538432809369348,TP
136,食品,PR,0,0,0.0023357064450862,TN
137,生活用品,PR,0,0,0.006276939173606,TN
138,化学,PR,0,0,0.008175193266285,TN
139,化学,PR,0,0,0.0113288095528365,TN
140,機械,PR,1,1,0.8149220458225506,TP
141,IT,PR,1,1,0.5918922473231103,TP
142,IT,PR,0,0,0.0743584225946982,TN
143,建設・工事,PR,0,0,0.0016364745413859,TN
144,機械,PR,1,0,0.3179746031116618,FN
145,生活用品,PR,0,0,0.0264233933105697,TN
146,エネルギー,PR,1,0,0.2493978935138771,FN
147,エネルギー,PR,0,1,0.5028924231764085,FP
148,食品,PR,0,0,0.0173997896800697,TN
149,製造,PR,0,0,0.1750722243601039,TN
150,商社,PR,0,0,0.0785128812888729,TN
151,商社,PR,1,1,0.9031473423941868,TP
152,機械,PR,0,0,0.002268135518982,TN
153,機械,PR,0,0,0.0048535021912785,TN
154,運輸・物流,PR,0,0,0.0295204728040326,TN
155,自動車・乗り物,PR,1,0,0.2109595994373169,FN
156,化学,PR,0,1,0.6757080776965632,FP
157,商社,PR,0,0,0.0258947700738375,TN
158,自動車・乗り物,PR,1,1,0.9776084113693888,TP
159,不動産,PR,0,0,0.0068306033382225,TN
160,エネルギー,PR,1,0,0.3040869511503718,FN
161,商社,PR,0,0,0.0101764997911523,TN
162,自動車・乗り物,PR,1,1,0.604013765441106,TP
163,自動車・乗り物,PR,1,1,0.6547934998054232,TP
164,製造,PR,0,0,0.0691848297257599,TN
165,IT,PR,1,1,0.8519023868513174,TP
166,エネルギー,PR,0,0,0.0369356099888564,TN
167,アパレル・美容,PR,0,0,0.0279051851833223,TN
168,機械,PR,1,1,0.7481047526331063,TP
169,自動車・乗り物,PR,0,0,0.2253949268298333,TN
