,0
今後のDX展望_wsvd1,1152.6465170681477
今後のDX展望_csvd1,1045.1047511696815
財務総合スコア,673.8812848627567
te_業界,624.8583865761757
逆風スコア,324.16624665260315
売上高営業利益率,321.0760225057602
ROA,249.15635538101196
企業概要_wsvd2,198.30242708325386
姿勢_抑制,196.33999860286713
ROE,168.6713872551918
営業CF,141.85182976722717
満足度軸,130.91907581686974
自己資本比率_業界内z,123.19464635848999
減価償却費率,114.43244308233261
ROA_業界内z,113.50801801681519
有利子負債比率,108.24481266736984
経常利益,99.45865222811699
姿勢差,96.80165880918503
log従業員数_業界内z,92.55971318483353
フリーCF,91.52166903018951
組織図_csvd14,88.25789615511894
企業概要_wsvd31,86.67286765575409
組織図_wsvd12,83.29906982183456
log従業員数_業界内順位,79.61934113502502
戦略整備軸,78.9512739777565
今後のDX展望_wsvd5,77.04141992330551
今後のDX展望_csvd3,76.17045092582703
組織図_wsvd34,73.56733393669128
今後のDX展望_wsvd11,73.31975078582764
当期純利益,69.70779299736023
組織図_wsvd10,65.86751571297646
企業概要_csvd18,61.36172008514404
今後のDX展望_csvd2,61.31518077850342
今後のDX展望_wsvd39,59.7775613963604
従業員数,59.05919477343559
組織図_wsvd30,58.77075111865997
企業概要_wsvd33,57.77444797754288
投資CF対売上,57.66055837273598
今後のDX展望_wsvd7,56.39068919420242
企業概要_csvd2,55.3742952644825
今後のDX展望_wsvd12,53.172336518764496
売上高経常利益率,53.14240664243698
組織図_wsvd23,51.709319829940796
組織図_csvd5,51.19578272104263
企業概要_wsvd8,50.51778167486191
組織図_wsvd36,49.69189989566803
ROA_業界内順位,48.56397294998169
営業利益,48.04677814245224
log従業員数,47.378231048583984
アンケート７,47.06427824497223
今後のDX展望_wsvd25,46.80213022232056
姿勢差_業界内z,45.59451413154602
固定資産,45.357670307159424
企業概要_wsvd12,44.42360657453537
組織図_csvd19,43.93005061149597
売上高経常利益率_業界内順位,43.879184544086456
DX部署フラグ,43.62508511543274
企業概要_wsvd9,43.34892588853836
一人当たり営業利益,42.029502511024475
企業概要_wsvd7,41.66845220327377
アンケート８,41.27290952205658
今後のDX展望_wsvd22,40.85115039348602
今後のDX展望_wsvd38,40.53893423080444
組織図_wsvd39,38.30174961686134
組織図_wsvd20,38.25576066970825
企業概要_wsvd23,37.18578153848648
今後のDX展望_csvd8,37.155699491500854
組織図_wsvd13,36.803627759218216
組織図_wsvd38,36.665661841630936
今後のDX展望_wsvd4,36.657198160886765
組織図_wsvd32,36.18604648113251
今後のDX展望_wsvd13,34.70166051387787
今後のDX展望_wsvd6,34.54847002029419
売上高経常利益率_業界内z,34.41590595245361
今後のDX展望_csvd16,33.776623487472534
企業概要_wsvd4,33.39142084121704
企業概要_csvd6,33.38774025440216
有利子負債比率_業界内順位,32.75005477666855
組織図_csvd9,32.09826862812042
アンケート４,31.701200485229492
今後のDX展望_wsvd28,29.987698256969452
今後のDX展望_wsvd2,29.856236964464188
テキスト財務乖離,29.703565895557404
無形固定資産変動(ソフトウェア関連),29.581024527549744
負債比率,29.245399475097656
企業概要_wsvd20,28.637848764657974
組織図_wsvd0,28.200280785560608
企業概要_wsvd10,28.10063263773918
有利子負債比率_業界内z,28.057878613471985
企業概要_wsvd15,27.436716556549072
今後のDX展望_csvd12,27.18855208158493
企業概要_wsvd13,27.186030387878418
今後のDX展望_wsvd23,26.756807327270508
組織図_wsvd4,26.53055989742279
今後のDX展望_wsvd37,26.36498513817787
今後のDX展望_wsvd32,26.013163328170776
組織図_csvd4,25.917443215847015
企業概要_wsvd26,25.717451095581055
今後のDX展望_wsvd20,24.521154046058655
企業概要_wsvd18,24.295629620552063
組織図_wsvd6,23.97971999645233
今後のDX展望_csvd9,23.741367638111115
流動資産比率,23.67300334572792
組織図_wsvd24,23.12992012500763
今後のDX展望_wsvd34,22.59425526857376
今後のDX展望_wsvd15,22.230665147304535
企業概要_csvd8,22.188519716262817
企業概要_wsvd3,21.66245526075363
企業概要_csvd10,21.528161227703094
組織図_wsvd18,21.48849281668663
今後のDX展望_csvd13,21.378903806209564
組織図_wsvd17,21.10042715072632
今後のDX展望_wsvd33,20.981248557567596
企業概要_wsvd21,20.915630340576172
企業概要_wsvd0,20.8869166970253
姿勢差_業界内順位,20.80208894610405
満足_財務優良,20.738409996032715
企業概要_wsvd6,20.566288888454437
今後のDX展望_csvd10,20.473167717456818
今後のDX展望_wsvd27,20.46738028526306
組織図_wsvd21,20.45067024230957
一人当たり売上,20.432895123958588
企業概要_wsvd28,19.6318496465683
組織図_wsvd22,19.138254791498184
組織図_wsvd29,18.99856984615326
今後のDX展望_wsvd35,18.983870148658752
今後のDX展望_wsvd21,18.56924033164978
自己資本比率_業界内順位,18.189499497413635
組織図_csvd16,18.07642251253128
企業概要_wsvd1,18.000900268554688
今後のDX展望_wsvd36,17.642602264881134
組織図_wsvd5,17.360108256340027
企業概要_csvd1,17.326533138751984
組織図_wsvd35,17.17047828435898
今後のDX展望_csvd5,17.15616124868393
企業概要_wsvd29,17.037241458892822
組織図_csvd8,17.020100355148315
ソフト投資対有形比,16.851825773715973
組織図_csvd1,16.484400629997253
企業概要_wsvd39,15.658859968185425
今後のDX展望_wsvd17,15.473271161317825
企業概要_wsvd35,15.417844951152802
今後のDX展望_wsvd3,15.41705983877182
姿勢_積極,15.354209780693054
企業概要_csvd0,15.161126255989075
今後のDX展望_csvd14,15.021810412406921
事業所あたり従業員数,15.013311505317688
今後のDX展望_wsvd8,14.796885788440704
企業概要_csvd16,14.7784104347229
組織図_csvd0,14.616700172424316
既存ツール満足度,14.424319863319397
有形固定資産変動率,14.193153947591782
組織図_csvd11,14.074903070926666
組織図_csvd12,14.052167654037476
今後のDX展望_csvd0,13.697302043437958
今後のDX展望_wsvd14,13.57993632555008
企業概要_csvd11,13.16631007194519
組織図_wsvd28,13.118269681930542
企業概要_wsvd11,12.901017904281616
組織図_wsvd37,12.900083661079407
組織図_csvd18,12.810670256614685
組織図_wsvd31,12.696992993354797
企業概要_wsvd19,12.541229724884033
組織図_wsvd2,12.005460321903229
組織図_csvd13,11.98491907119751
今後のDX展望_csvd17,11.835109949111938
組織図_wsvd19,11.640554070472717
抵抗高フラグ,10.934288918972015
企業概要_wsvd24,10.782879710197449
今後のDX展望_wsvd18,10.338218986988068
企業概要_csvd17,10.310759782791138
組織図_wsvd11,10.2262482047081
投資CF,9.769580125808716
企業概要_wsvd32,9.741720765829086
今後のDX展望_wsvd30,9.713239967823029
工場数,9.458014965057373
今後のDX展望_wsvd31,9.142064601182938
組織図_csvd15,8.547580122947693
今後のDX展望_wsvd0,8.511083096265793
組織図_csvd2,8.437754809856415
企業概要_csvd19,8.432708859443665
組織図_wsvd8,8.35217022895813
企業概要_csvd4,8.243513882160187
アンケート２,8.11615401506424
組織図_wsvd27,7.995212107896805
自己資本比率,7.94255393743515
自己資本,7.902470111846924
企業概要_csvd14,7.881256878376007
今後のDX展望_wsvd10,7.680657088756561
運転資本変動,7.631566226482391
企業概要_wsvd25,7.585281848907471
純資産,7.499837160110474
組織図_wsvd25,7.472469806671143
組織図_csvd17,7.381128042936325
資本金,7.157064139842987
無形固定資産変動率,6.734495043754578
組織図_csvd3,6.62266418337822
今後のDX展望_wsvd19,6.619230031967163
企業概要_csvd5,6.577407002449036
今後のDX展望_csvd19,6.514035999774933
企業概要_wsvd14,6.481083869934082
組織図_csvd7,6.291677117347717
企業概要_csvd3,5.8389400243759155
今後のDX展望_wsvd29,5.676175951957703
短期借入金,5.536376237869263
te_特徴,5.427541077136993
企業概要_csvd12,5.425619840621948
今後のDX展望_csvd15,5.421691119670868
今後のDX展望_csvd11,5.331297934055328
企業概要_csvd9,5.282832086086273
企業概要_wsvd30,5.23279196023941
今後のDX展望_csvd18,5.1901479959487915
今後のDX展望_wsvd16,5.153579950332642
店舗数,5.0367960929870605
組織図_csvd10,4.700409889221191
組織図_wsvd3,4.584757030010223
企業概要_csvd7,4.578440010547638
企業概要_wsvd27,4.482260227203369
今後のDX展望_csvd6,4.44714093208313
今後のDX展望_wsvd26,4.350430130958557
組織図_wsvd9,4.112254977226257
組織図_wsvd15,4.036379933357239
企業概要_wsvd34,3.852620005607605
組織図_wsvd14,3.822828948497772
アンケート１,3.7932199239730835
連携高フラグ,3.7365100383758545
kw_リスキリング,3.7238500118255615
負債,3.4245800971984863
今後のDX展望_wsvd9,3.3420480489730835
企業概要_csvd13,3.018230974674225
企業概要_csvd15,3.017765998840332
上場種別,3.0064098834991455
有形固定資産変動,2.9822499752044678
総資産,2.875920057296753
企業概要_wsvd16,2.6721210181713104
今後のDX展望_csvd4,2.4788899421691895
企業概要_wsvd22,2.3062798976898193
アンケート１０,2.2728099822998047
流動資産,2.1254600286483765
アンケート９,1.9715259671211243
アンケート１１,1.9251360297203064
組織図_wsvd16,1.850950002670288
売上,1.1203500032424927
組織図_csvd6,1.0161800384521484
企業概要_wsvd37,0.948136031627655
長期借入金,0.9356600046157837
アンケート５,0.6622499823570251
事業所数,0.5455480217933655
組織図_wsvd26,0.5274500250816345
企業概要_wsvd38,0.519573986530304
今後のDX展望_wsvd24,0.32980599999427795
特徴,0.0
kw_クラウド,0.0
kw_IoT,0.0
企業概要_wsvd17,0.0
企業概要_wsvd36,0.0
kw_AI,0.0
te_上場種別,0.0
テキスト積極度順位,0.0
満足度高フラグ,0.0
導入済み満足フラグ,0.0
企業概要_wsvd5,0.0
kw_生成AI,0.0
導入済みフラグ,0.0
導入済み不満フラグ,0.0
ツール未導入フラグ,0.0
log総資産,0.0
組織図_wsvd7,0.0
log売上,0.0
組織図_wsvd1,0.0
kw_デジタル,0.0
kw_人材育成,0.0
今後のDX展望_csvd7,0.0
減価償却費,0.0
アンケート３,0.0
アンケート６,0.0
組織図_wsvd33,0.0
業界,0.0
