企業ID,_score,_pred,購入フラグ,_区分
0,0.45485175202156336,0,0,TN
1,0.0545822102425876,0,0,TN
2,0.4976415094339623,0,0,TN
3,0.3207547169811321,0,0,TN
4,0.3002021563342318,0,0,TN
5,0.1553234501347709,0,0,TN
6,0.3632075471698113,0,0,TN
7,0.8214285714285714,1,1,TP
8,0.8921832884097035,1,1,TP
9,0.6354447439353099,0,0,TN
10,0.08322102425876012,0,0,TN
11,0.5158355795148248,0,0,TN
12,0.19474393530997305,0,0,TN
13,0.5491913746630728,0,0,TN
14,0.13140161725067384,0,0,TN
15,0.9747304582210242,1,1,TP
16,0.39083557951482484,0,0,TN
17,0.6121967654986523,0,0,TN
18,0.977088948787062,1,1,TP
19,0.5596361185983827,0,0,TN
20,0.5754716981132075,0,0,TN
21,0.3264824797843666,0,0,TN
22,0.5064016172506739,0,0,TN
23,0.8719676549865228,1,1,TP
24,0.8416442048517521,1,1,TP
25,0.5232479784366577,0,0,TN
26,0.7847035040431267,1,1,TP
27,0.5461590296495957,0,0,TN
28,0.7230458221024259,0,0,TN
29,0.4464285714285714,0,0,TN
30,0.5266172506738545,0,0,TN
31,0.47371967654986524,0,0,TN
32,0.7597708894878705,1,0,FP
33,0.831199460916442,1,1,TP
34,0.07681940700808626,0,0,TN
35,0.37432614555256066,0,0,TN
36,0.3231132075471698,0,0,TN
37,0.4046495956873315,0,0,TN
38,0.18564690026954175,0,0,TN
39,0.6378032345013478,0,0,TN
40,0.3588274932614555,0,0,TN
41,0.39858490566037735,0,0,TN
42,0.03167115902964959,0,0,TN
43,0.6182614555256065,0,0,TN
44,0.15498652291105122,0,0,TN
45,0.5977088948787062,0,0,TN
46,0.774932614555256,1,1,TP
47,0.9053234501347709,1,1,TP
48,0.9932614555256065,1,1,TP
49,0.5973719676549866,0,0,TN
50,0.09535040431266846,0,0,TN
51,0.8830862533692722,1,1,TP
52,0.04177897574123989,0,0,TN
53,0.4797843665768194,0,0,TN
54,0.9568733153638813,1,1,TP
55,0.8288409703504043,1,1,TP
